Time,CH4 emissions,CO2 emissions,Unit
0,0.0,37.5,kgc
1,2.092719014474767,20.842719014474767,kgc
2,2.9989353897587385,2.9989353897587385,kgc
3,4.197158487198288,1.399052829066096,kgc
4,3.9160873392647275,1.3053624464215758,kgc
5,3.653838685273583,1.2179462284245277,kgc
6,3.4091520391137298,1.13638401303791,kgc
7,3.180851325658085,1.0602837752193617,kgc
8,2.967839228012587,0.9892797426708624,kgc
9,2.7690919133128675,0.9230306377709558,kgc
10,2.5836541117186878,0.8612180372395626,kgc
11,2.4106345249532612,0.8035448416510871,kgc
12,2.249201542319054,0.7497338474396846,kgc
13,2.0985792435991466,0.6995264145330489,kgc
14,1.9580436696323598,0.6526812232107866,kgc
15,1.8269193426367916,0.6089731142122639,kgc
16,1.7045760195568662,0.5681920065189554,kgc
17,1.5904256628290425,0.5301418876096808,kgc
18,1.4839196140062936,0.4946398713354312,kgc
19,1.3845459566564338,0.4615153188854779,kgc
20,1.2918270558593439,0.4306090186197813,kgc
