Year,CO2,CH4,N2O,CO,Unit
78,7.62E-16,2.60E-15,1.88E-13,1.20E-15,W.m-2.kg-1
79,7.60E-16,2.56E-15,1.87E-13,1.19E-15,W.m-2.kg-1
80,7.58E-16,2.53E-15,1.85E-13,1.19E-15,W.m-2.kg-1
81,7.55E-16,2.49E-15,1.84E-13,1.19E-15,W.m-2.kg-1
82,7.53E-16,2.46E-15,1.82E-13,1.18E-15,W.m-2.kg-1
83,7.51E-16,2.43E-15,1.81E-13,1.18E-15,W.m-2.kg-1
84,7.48E-16,2.40E-15,1.79E-13,1.18E-15,W.m-2.kg-1
85,7.46E-16,2.37E-15,1.78E-13,1.17E-15,W.m-2.kg-1
86,7.44E-16,2.35E-15,1.76E-13,1.17E-15,W.m-2.kg-1
87,7.42E-16,2.32E-15,1.75E-13,1.17E-15,W.m-2.kg-1
88,7.40E-16,2.30E-15,1.73E-13,1.16E-15,W.m-2.kg-1
89,7.38E-16,2.28E-15,1.72E-13,1.16E-15,W.m-2.kg-1
90,7.36E-16,2.26E-15,1.70E-13,1.16E-15,W.m-2.kg-1
91,7.34E-16,2.24E-15,1.69E-13,1.15E-15,W.m-2.kg-1
92,7.32E-16,2.22E-15,1.68E-13,1.15E-15,W.m-2.kg-1
93,7.30E-16,2.21E-15,1.66E-13,1.15E-15,W.m-2.kg-1
94,7.28E-16,2.19E-15,1.65E-13,1.14E-15,W.m-2.kg-1
95,7.27E-16,2.18E-15,1.63E-13,1.14E-15,W.m-2.kg-1
96,7.25E-16,2.16E-15,1.62E-13,1.14E-15,W.m-2.kg-1
97,7.23E-16,2.15E-15,1.61E-13,1.14E-15,W.m-2.kg-1
98,7.21E-16,2.14E-15,1.59E-13,1.13E-15,W.m-2.kg-1
99,7.20E-16,2.12E-15,1.58E-13,1.13E-15,W.m-2.kg-1
100,7.18E-16,2.11E-15,1.57E-13,1.13E-15,W.m-2.kg-1
101,7.16E-16,2.10E-15,1.56E-13,1.13E-15,W.m-2.kg-1
102,7.15E-16,2.09E-15,1.54E-13,1.12E-15,W.m-2.kg-1
103,7.13E-16,2.08E-15,1.53E-13,1.12E-15,W.m-2.kg-1
104,7.12E-16,2.07E-15,1.52E-13,1.12E-15,W.m-2.kg-1
105,7.10E-16,2.06E-15,1.50E-13,1.12E-15,W.m-2.kg-1
106,7.09E-16,2.05E-15,1.49E-13,1.11E-15,W.m-2.kg-1
107,7.07E-16,2.04E-15,1.48E-13,1.11E-15,W.m-2.kg-1
108,7.06E-16,2.04E-15,1.47E-13,1.11E-15,W.m-2.kg-1
109,7.04E-16,2.03E-15,1.46E-13,1.11E-15,W.m-2.kg-1
110,7.03E-16,2.02E-15,1.44E-13,1.10E-15,W.m-2.kg-1
111,7.01E-16,2.01E-15,1.43E-13,1.10E-15,W.m-2.kg-1
112,7.00E-16,2.01E-15,1.42E-13,1.10E-15,W.m-2.kg-1
113,6.98E-16,2.00E-15,1.41E-13,1.10E-15,W.m-2.kg-1
114,6.97E-16,1.99E-15,1.40E-13,1.10E-15,W.m-2.kg-1
115,6.96E-16,1.99E-15,1.39E-13,1.09E-15,W.m-2.kg-1
116,6.94E-16,1.98E-15,1.37E-13,1.09E-15,W.m-2.kg-1
117,6.93E-16,1.98E-15,1.36E-13,1.09E-15,W.m-2.kg-1
118,6.92E-16,1.97E-15,1.35E-13,1.09E-15,W.m-2.kg-1
119,6.91E-16,1.96E-15,1.34E-13,1.09E-15,W.m-2.kg-1
120,6.89E-16,1.96E-15,1.33E-13,1.08E-15,W.m-2.kg-1
121,6.88E-16,1.95E-15,1.32E-13,1.08E-15,W.m-2.kg-1
122,6.87E-16,1.95E-15,1.31E-13,1.08E-15,W.m-2.kg-1
123,6.86E-16,1.94E-15,1.30E-13,1.08E-15,W.m-2.kg-1
124,6.84E-16,1.94E-15,1.29E-13,1.08E-15,W.m-2.kg-1
125,6.83E-16,1.93E-15,1.28E-13,1.07E-15,W.m-2.kg-1
126,6.82E-16,1.93E-15,1.27E-13,1.07E-15,W.m-2.kg-1
127,6.81E-16,1.93E-15,1.25E-13,1.07E-15,W.m-2.kg-1
128,6.80E-16,1.92E-15,1.24E-13,1.07E-15,W.m-2.kg-1
129,6.79E-16,1.92E-15,1.23E-13,1.07E-15,W.m-2.kg-1
130,6.77E-16,1.91E-15,1.22E-13,1.06E-15,W.m-2.kg-1
131,6.76E-16,1.91E-15,1.21E-13,1.06E-15,W.m-2.kg-1
132,6.75E-16,1.90E-15,1.20E-13,1.06E-15,W.m-2.kg-1
133,6.74E-16,1.90E-15,1.19E-13,1.06E-15,W.m-2.kg-1
134,6.73E-16,1.90E-15,1.18E-13,1.06E-15,W.m-2.kg-1
135,6.72E-16,1.89E-15,1.17E-13,1.06E-15,W.m-2.kg-1
136,6.71E-16,1.89E-15,1.16E-13,1.05E-15,W.m-2.kg-1
137,6.70E-16,1.89E-15,1.16E-13,1.05E-15,W.m-2.kg-1
138,6.69E-16,1.88E-15,1.15E-13,1.05E-15,W.m-2.kg-1
139,6.68E-16,1.88E-15,1.14E-13,1.05E-15,W.m-2.kg-1
140,6.67E-16,1.88E-15,1.13E-13,1.05E-15,W.m-2.kg-1
141,6.66E-16,1.87E-15,1.12E-13,1.05E-15,W.m-2.kg-1
142,6.65E-16,1.87E-15,1.11E-13,1.05E-15,W.m-2.kg-1
143,6.64E-16,1.87E-15,1.10E-13,1.04E-15,W.m-2.kg-1
144,6.63E-16,1.86E-15,1.09E-13,1.04E-15,W.m-2.kg-1
145,6.62E-16,1.86E-15,1.08E-13,1.04E-15,W.m-2.kg-1
146,6.61E-16,1.86E-15,1.07E-13,1.04E-15,W.m-2.kg-1
147,6.60E-16,1.85E-15,1.06E-13,1.04E-15,W.m-2.kg-1
148,6.59E-16,1.85E-15,1.05E-13,1.04E-15,W.m-2.kg-1
149,6.58E-16,1.85E-15,1.05E-13,1.03E-15,W.m-2.kg-1
150,6.58E-16,1.84E-15,1.04E-13,1.03E-15,W.m-2.kg-1
151,6.57E-16,1.84E-15,1.03E-13,1.03E-15,W.m-2.kg-1
152,6.56E-16,1.84E-15,1.02E-13,1.03E-15,W.m-2.kg-1
153,6.55E-16,1.83E-15,1.01E-13,1.03E-15,W.m-2.kg-1
154,6.54E-16,1.83E-15,1.00E-13,1.03E-15,W.m-2.kg-1
155,6.53E-16,1.83E-15,9.96E-14,1.03E-15,W.m-2.kg-1
156,6.52E-16,1.83E-15,9.87E-14,1.02E-15,W.m-2.kg-1
157,6.51E-16,1.82E-15,9.79E-14,1.02E-15,W.m-2.kg-1
158,6.50E-16,1.82E-15,9.71E-14,1.02E-15,W.m-2.kg-1
159,6.50E-16,1.82E-15,9.63E-14,1.02E-15,W.m-2.kg-1
160,6.49E-16,1.82E-15,9.55E-14,1.02E-15,W.m-2.kg-1
161,6.48E-16,1.81E-15,9.47E-14,1.02E-15,W.m-2.kg-1
162,6.47E-16,1.81E-15,9.40E-14,1.02E-15,W.m-2.kg-1
163,6.46E-16,1.81E-15,9.32E-14,1.02E-15,W.m-2.kg-1
164,6.46E-16,1.81E-15,9.24E-14,1.01E-15,W.m-2.kg-1
165,6.45E-16,1.80E-15,9.17E-14,1.01E-15,W.m-2.kg-1
166,6.44E-16,1.80E-15,9.09E-14,1.01E-15,W.m-2.kg-1
167,6.43E-16,1.80E-15,9.02E-14,1.01E-15,W.m-2.kg-1
168,6.42E-16,1.80E-15,8.94E-14,1.01E-15,W.m-2.kg-1
169,6.42E-16,1.79E-15,8.87E-14,1.01E-15,W.m-2.kg-1
170,6.41E-16,1.79E-15,8.79E-14,1.01E-15,W.m-2.kg-1
171,6.40E-16,1.79E-15,8.72E-14,1.01E-15,W.m-2.kg-1
172,6.39E-16,1.79E-15,8.65E-14,1.00E-15,W.m-2.kg-1
173,6.38E-16,1.78E-15,8.58E-14,1.00E-15,W.m-2.kg-1
174,6.38E-16,1.78E-15,8.51E-14,1.00E-15,W.m-2.kg-1
175,6.37E-16,1.78E-15,8.44E-14,1.00E-15,W.m-2.kg-1
176,6.36E-16,1.78E-15,8.37E-14,1.00E-15,W.m-2.kg-1
177,6.35E-16,1.77E-15,8.30E-14,9.99E-16,W.m-2.kg-1
178,6.35E-16,1.77E-15,8.23E-14,9.97E-16,W.m-2.kg-1
179,6.34E-16,1.77E-15,8.16E-14,9.96E-16,W.m-2.kg-1
180,6.33E-16,1.77E-15,8.10E-14,9.95E-16,W.m-2.kg-1
181,6.32E-16,1.77E-15,8.03E-14,9.94E-16,W.m-2.kg-1
182,6.32E-16,1.76E-15,7.96E-14,9.93E-16,W.m-2.kg-1
183,6.31E-16,1.76E-15,7.90E-14,9.92E-16,W.m-2.kg-1
184,6.30E-16,1.76E-15,7.83E-14,9.90E-16,W.m-2.kg-1
185,6.30E-16,1.76E-15,7.77E-14,9.89E-16,W.m-2.kg-1
186,6.29E-16,1.75E-15,7.71E-14,9.88E-16,W.m-2.kg-1
187,6.28E-16,1.75E-15,7.64E-14,9.87E-16,W.m-2.kg-1
188,6.27E-16,1.75E-15,7.58E-14,9.86E-16,W.m-2.kg-1
189,6.27E-16,1.75E-15,7.52E-14,9.85E-16,W.m-2.kg-1
