Year,CO2,CH4,N2O,CO,Unit
339,5.47E-16,1.52E-15,2.18E-14,8.60E-16,W.m-2.kg-1
340,5.47E-16,1.52E-15,2.16E-14,8.59E-16,W.m-2.kg-1
341,5.46E-16,1.52E-15,2.14E-14,8.58E-16,W.m-2.kg-1
342,5.46E-16,1.52E-15,2.12E-14,8.58E-16,W.m-2.kg-1
343,5.45E-16,1.51E-15,2.11E-14,8.57E-16,W.m-2.kg-1
344,5.45E-16,1.51E-15,2.09E-14,8.56E-16,W.m-2.kg-1
345,5.45E-16,1.51E-15,2.07E-14,8.56E-16,W.m-2.kg-1
346,5.44E-16,1.51E-15,2.05E-14,8.55E-16,W.m-2.kg-1
347,5.44E-16,1.51E-15,2.04E-14,8.54E-16,W.m-2.kg-1
348,5.43E-16,1.51E-15,2.02E-14,8.54E-16,W.m-2.kg-1
349,5.43E-16,1.51E-15,2.00E-14,8.53E-16,W.m-2.kg-1
350,5.42E-16,1.51E-15,1.99E-14,8.52E-16,W.m-2.kg-1
351,5.42E-16,1.50E-15,1.97E-14,8.52E-16,W.m-2.kg-1
352,5.42E-16,1.50E-15,1.95E-14,8.51E-16,W.m-2.kg-1
353,5.41E-16,1.50E-15,1.94E-14,8.50E-16,W.m-2.kg-1
354,5.41E-16,1.50E-15,1.92E-14,8.50E-16,W.m-2.kg-1
355,5.40E-16,1.50E-15,1.91E-14,8.49E-16,W.m-2.kg-1
356,5.40E-16,1.50E-15,1.89E-14,8.49E-16,W.m-2.kg-1
357,5.40E-16,1.50E-15,1.88E-14,8.48E-16,W.m-2.kg-1
358,5.39E-16,1.50E-15,1.86E-14,8.47E-16,W.m-2.kg-1
359,5.39E-16,1.50E-15,1.84E-14,8.47E-16,W.m-2.kg-1
360,5.38E-16,1.49E-15,1.83E-14,8.46E-16,W.m-2.kg-1
361,5.38E-16,1.49E-15,1.81E-14,8.45E-16,W.m-2.kg-1
362,5.38E-16,1.49E-15,1.80E-14,8.45E-16,W.m-2.kg-1
363,5.37E-16,1.49E-15,1.78E-14,8.44E-16,W.m-2.kg-1
364,5.37E-16,1.49E-15,1.77E-14,8.44E-16,W.m-2.kg-1
365,5.36E-16,1.49E-15,1.76E-14,8.43E-16,W.m-2.kg-1
366,5.36E-16,1.49E-15,1.74E-14,8.42E-16,W.m-2.kg-1
367,5.36E-16,1.49E-15,1.73E-14,8.42E-16,W.m-2.kg-1
368,5.35E-16,1.49E-15,1.71E-14,8.41E-16,W.m-2.kg-1
369,5.35E-16,1.48E-15,1.70E-14,8.40E-16,W.m-2.kg-1
370,5.34E-16,1.48E-15,1.68E-14,8.40E-16,W.m-2.kg-1
371,5.34E-16,1.48E-15,1.67E-14,8.39E-16,W.m-2.kg-1
372,5.34E-16,1.48E-15,1.66E-14,8.39E-16,W.m-2.kg-1
373,5.33E-16,1.48E-15,1.64E-14,8.38E-16,W.m-2.kg-1
374,5.33E-16,1.48E-15,1.63E-14,8.37E-16,W.m-2.kg-1
375,5.32E-16,1.48E-15,1.62E-14,8.37E-16,W.m-2.kg-1
376,5.32E-16,1.48E-15,1.60E-14,8.36E-16,W.m-2.kg-1
377,5.32E-16,1.48E-15,1.59E-14,8.36E-16,W.m-2.kg-1
378,5.31E-16,1.47E-15,1.58E-14,8.35E-16,W.m-2.kg-1
379,5.31E-16,1.47E-15,1.56E-14,8.34E-16,W.m-2.kg-1
380,5.31E-16,1.47E-15,1.55E-14,8.34E-16,W.m-2.kg-1
381,5.30E-16,1.47E-15,1.54E-14,8.33E-16,W.m-2.kg-1
382,5.30E-16,1.47E-15,1.53E-14,8.33E-16,W.m-2.kg-1
383,5.29E-16,1.47E-15,1.51E-14,8.32E-16,W.m-2.kg-1
384,5.29E-16,1.47E-15,1.50E-14,8.31E-16,W.m-2.kg-1
385,5.29E-16,1.47E-15,1.49E-14,8.31E-16,W.m-2.kg-1
386,5.28E-16,1.47E-15,1.48E-14,8.30E-16,W.m-2.kg-1
387,5.28E-16,1.46E-15,1.46E-14,8.30E-16,W.m-2.kg-1
388,5.28E-16,1.46E-15,1.45E-14,8.29E-16,W.m-2.kg-1
389,5.27E-16,1.46E-15,1.44E-14,8.28E-16,W.m-2.kg-1
390,5.27E-16,1.46E-15,1.43E-14,8.28E-16,W.m-2.kg-1
391,5.26E-16,1.46E-15,1.42E-14,8.27E-16,W.m-2.kg-1
392,5.26E-16,1.46E-15,1.40E-14,8.27E-16,W.m-2.kg-1
393,5.26E-16,1.46E-15,1.39E-14,8.26E-16,W.m-2.kg-1
394,5.25E-16,1.46E-15,1.38E-14,8.26E-16,W.m-2.kg-1
395,5.25E-16,1.46E-15,1.37E-14,8.25E-16,W.m-2.kg-1
396,5.25E-16,1.46E-15,1.36E-14,8.24E-16,W.m-2.kg-1
397,5.24E-16,1.45E-15,1.35E-14,8.24E-16,W.m-2.kg-1
398,5.24E-16,1.45E-15,1.34E-14,8.23E-16,W.m-2.kg-1
399,5.24E-16,1.45E-15,1.33E-14,8.23E-16,W.m-2.kg-1
400,5.23E-16,1.45E-15,1.31E-14,8.22E-16,W.m-2.kg-1
401,5.23E-16,1.45E-15,1.30E-14,8.22E-16,W.m-2.kg-1
402,5.22E-16,1.45E-15,1.29E-14,8.21E-16,W.m-2.kg-1
403,5.22E-16,1.45E-15,1.28E-14,8.20E-16,W.m-2.kg-1
404,5.22E-16,1.45E-15,1.27E-14,8.20E-16,W.m-2.kg-1
405,5.21E-16,1.45E-15,1.26E-14,8.19E-16,W.m-2.kg-1
406,5.21E-16,1.44E-15,1.25E-14,8.19E-16,W.m-2.kg-1
407,5.21E-16,1.44E-15,1.24E-14,8.18E-16,W.m-2.kg-1
408,5.20E-16,1.44E-15,1.23E-14,8.18E-16,W.m-2.kg-1
409,5.20E-16,1.44E-15,1.22E-14,8.17E-16,W.m-2.kg-1
410,5.20E-16,1.44E-15,1.21E-14,8.16E-16,W.m-2.kg-1
411,5.19E-16,1.44E-15,1.20E-14,8.16E-16,W.m-2.kg-1
412,5.19E-16,1.44E-15,1.19E-14,8.15E-16,W.m-2.kg-1
413,5.19E-16,1.44E-15,1.18E-14,8.15E-16,W.m-2.kg-1
414,5.18E-16,1.44E-15,1.17E-14,8.14E-16,W.m-2.kg-1
415,5.18E-16,1.44E-15,1.16E-14,8.14E-16,W.m-2.kg-1
416,5.17E-16,1.43E-15,1.15E-14,8.13E-16,W.m-2.kg-1
417,5.17E-16,1.43E-15,1.14E-14,8.13E-16,W.m-2.kg-1
418,5.17E-16,1.43E-15,1.13E-14,8.12E-16,W.m-2.kg-1
419,5.16E-16,1.43E-15,1.12E-14,8.12E-16,W.m-2.kg-1
420,5.16E-16,1.43E-15,1.11E-14,8.11E-16,W.m-2.kg-1
421,5.16E-16,1.43E-15,1.10E-14,8.10E-16,W.m-2.kg-1
422,5.15E-16,1.43E-15,1.10E-14,8.10E-16,W.m-2.kg-1
423,5.15E-16,1.43E-15,1.09E-14,8.09E-16,W.m-2.kg-1
424,5.15E-16,1.43E-15,1.08E-14,8.09E-16,W.m-2.kg-1
425,5.14E-16,1.43E-15,1.07E-14,8.08E-16,W.m-2.kg-1
426,5.14E-16,1.43E-15,1.06E-14,8.08E-16,W.m-2.kg-1
427,5.14E-16,1.42E-15,1.05E-14,8.07E-16,W.m-2.kg-1
428,5.13E-16,1.42E-15,1.04E-14,8.07E-16,W.m-2.kg-1
429,5.13E-16,1.42E-15,1.03E-14,8.06E-16,W.m-2.kg-1
430,5.13E-16,1.42E-15,1.03E-14,8.06E-16,W.m-2.kg-1
431,5.12E-16,1.42E-15,1.02E-14,8.05E-16,W.m-2.kg-1
432,5.12E-16,1.42E-15,1.01E-14,8.05E-16,W.m-2.kg-1
433,5.12E-16,1.42E-15,1.00E-14,8.04E-16,W.m-2.kg-1
434,5.11E-16,1.42E-15,9.92E-15,8.04E-16,W.m-2.kg-1
435,5.11E-16,1.42E-15,9.84E-15,8.03E-16,W.m-2.kg-1
436,5.11E-16,1.42E-15,9.76E-15,8.03E-16,W.m-2.kg-1
437,5.10E-16,1.41E-15,9.68E-15,8.02E-16,W.m-2.kg-1
438,5.10E-16,1.41E-15,9.60E-15,8.02E-16,W.m-2.kg-1
439,5.10E-16,1.41E-15,9.52E-15,8.01E-16,W.m-2.kg-1
440,5.09E-16,1.41E-15,9.44E-15,8.00E-16,W.m-2.kg-1
441,5.09E-16,1.41E-15,9.37E-15,8.00E-16,W.m-2.kg-1
442,5.09E-16,1.41E-15,9.29E-15,7.99E-16,W.m-2.kg-1
443,5.08E-16,1.41E-15,9.21E-15,7.99E-16,W.m-2.kg-1
444,5.08E-16,1.41E-15,9.14E-15,7.98E-16,W.m-2.kg-1
445,5.08E-16,1.41E-15,9.06E-15,7.98E-16,W.m-2.kg-1
446,5.07E-16,1.41E-15,8.99E-15,7.97E-16,W.m-2.kg-1
447,5.07E-16,1.41E-15,8.91E-15,7.97E-16,W.m-2.kg-1
448,5.07E-16,1.40E-15,8.84E-15,7.96E-16,W.m-2.kg-1
449,5.06E-16,1.40E-15,8.77E-15,7.96E-16,W.m-2.kg-1
450,5.06E-16,1.40E-15,8.69E-15,7.95E-16,W.m-2.kg-1
451,5.06E-16,1.40E-15,8.62E-15,7.95E-16,W.m-2.kg-1
452,5.06E-16,1.40E-15,8.55E-15,7.94E-16,W.m-2.kg-1
453,5.05E-16,1.40E-15,8.48E-15,7.94E-16,W.m-2.kg-1
454,5.05E-16,1.40E-15,8.41E-15,7.93E-16,W.m-2.kg-1
455,5.05E-16,1.40E-15,8.34E-15,7.93E-16,W.m-2.kg-1
456,5.04E-16,1.40E-15,8.27E-15,7.92E-16,W.m-2.kg-1
457,5.04E-16,1.40E-15,8.21E-15,7.92E-16,W.m-2.kg-1
458,5.04E-16,1.40E-15,8.14E-15,7.91E-16,W.m-2.kg-1
459,5.03E-16,1.39E-15,8.07E-15,7.91E-16,W.m-2.kg-1
460,5.03E-16,1.39E-15,8.00E-15,7.90E-16,W.m-2.kg-1
461,5.03E-16,1.39E-15,7.94E-15,7.90E-16,W.m-2.kg-1
462,5.02E-16,1.39E-15,7.87E-15,7.90E-16,W.m-2.kg-1
463,5.02E-16,1.39E-15,7.81E-15,7.89E-16,W.m-2.kg-1
464,5.02E-16,1.39E-15,7.74E-15,7.89E-16,W.m-2.kg-1
465,5.01E-16,1.39E-15,7.68E-15,7.88E-16,W.m-2.kg-1
466,5.01E-16,1.39E-15,7.62E-15,7.88E-16,W.m-2.kg-1
467,5.01E-16,1.39E-15,7.55E-15,7.87E-16,W.m-2.kg-1
468,5.01E-16,1.39E-15,7.49E-15,7.87E-16,W.m-2.kg-1
469,5.00E-16,1.39E-15,7.43E-15,7.86E-16,W.m-2.kg-1
470,5.00E-16,1.39E-15,7.37E-15,7.86E-16,W.m-2.kg-1
471,5.00E-16,1.38E-15,7.31E-15,7.85E-16,W.m-2.kg-1
472,4.99E-16,1.38E-15,7.25E-15,7.85E-16,W.m-2.kg-1
473,4.99E-16,1.38E-15,7.19E-15,7.84E-16,W.m-2.kg-1
474,4.99E-16,1.38E-15,7.13E-15,7.84E-16,W.m-2.kg-1
475,4.98E-16,1.38E-15,7.07E-15,7.83E-16,W.m-2.kg-1
476,4.98E-16,1.38E-15,7.01E-15,7.83E-16,W.m-2.kg-1
477,4.98E-16,1.38E-15,6.96E-15,7.82E-16,W.m-2.kg-1
478,4.98E-16,1.38E-15,6.90E-15,7.82E-16,W.m-2.kg-1
479,4.97E-16,1.38E-15,6.84E-15,7.81E-16,W.m-2.kg-1
480,4.97E-16,1.38E-15,6.79E-15,7.81E-16,W.m-2.kg-1
481,4.97E-16,1.38E-15,6.73E-15,7.81E-16,W.m-2.kg-1
482,4.96E-16,1.38E-15,6.67E-15,7.80E-16,W.m-2.kg-1
483,4.96E-16,1.37E-15,6.62E-15,7.80E-16,W.m-2.kg-1
484,4.96E-16,1.37E-15,6.56E-15,7.79E-16,W.m-2.kg-1
485,4.96E-16,1.37E-15,6.51E-15,7.79E-16,W.m-2.kg-1
486,4.95E-16,1.37E-15,6.46E-15,7.78E-16,W.m-2.kg-1
487,4.95E-16,1.37E-15,6.40E-15,7.78E-16,W.m-2.kg-1
488,4.95E-16,1.37E-15,6.35E-15,7.77E-16,W.m-2.kg-1
489,4.94E-16,1.37E-15,6.30E-15,7.77E-16,W.m-2.kg-1
490,4.94E-16,1.37E-15,6.25E-15,7.76E-16,W.m-2.kg-1
491,4.94E-16,1.37E-15,6.20E-15,7.76E-16,W.m-2.kg-1
492,4.93E-16,1.37E-15,6.14E-15,7.75E-16,W.m-2.kg-1
493,4.93E-16,1.37E-15,6.09E-15,7.75E-16,W.m-2.kg-1
494,4.93E-16,1.37E-15,6.04E-15,7.75E-16,W.m-2.kg-1
495,4.93E-16,1.36E-15,5.99E-15,7.74E-16,W.m-2.kg-1
496,4.92E-16,1.36E-15,5.94E-15,7.74E-16,W.m-2.kg-1
497,4.92E-16,1.36E-15,5.90E-15,7.73E-16,W.m-2.kg-1
498,4.92E-16,1.36E-15,5.85E-15,7.73E-16,W.m-2.kg-1
499,4.92E-16,1.36E-15,5.80E-15,7.72E-16,W.m-2.kg-1
500,4.91E-16,1.36E-15,5.75E-15,7.72E-16,W.m-2.kg-1
501,4.91E-16,1.36E-15,5.70E-15,7.71E-16,W.m-2.kg-1
502,4.91E-16,1.36E-15,5.66E-15,7.71E-16,W.m-2.kg-1
503,4.90E-16,1.36E-15,5.61E-15,7.71E-16,W.m-2.kg-1
504,4.90E-16,1.36E-15,5.56E-15,7.70E-16,W.m-2.kg-1
505,4.90E-16,1.36E-15,5.52E-15,7.70E-16,W.m-2.kg-1
506,4.90E-16,1.36E-15,5.47E-15,7.69E-16,W.m-2.kg-1
507,4.89E-16,1.35E-15,5.43E-15,7.69E-16,W.m-2.kg-1
508,4.89E-16,1.35E-15,5.38E-15,7.68E-16,W.m-2.kg-1
509,4.89E-16,1.35E-15,5.34E-15,7.68E-16,W.m-2.kg-1
510,4.88E-16,1.35E-15,5.30E-15,7.68E-16,W.m-2.kg-1
511,4.88E-16,1.35E-15,5.25E-15,7.67E-16,W.m-2.kg-1
512,4.88E-16,1.35E-15,5.21E-15,7.67E-16,W.m-2.kg-1
513,4.88E-16,1.35E-15,5.17E-15,7.66E-16,W.m-2.kg-1
514,4.87E-16,1.35E-15,5.12E-15,7.66E-16,W.m-2.kg-1
515,4.87E-16,1.35E-15,5.08E-15,7.65E-16,W.m-2.kg-1
516,4.87E-16,1.35E-15,5.04E-15,7.65E-16,W.m-2.kg-1
517,4.87E-16,1.35E-15,5.00E-15,7.65E-16,W.m-2.kg-1
518,4.86E-16,1.35E-15,4.96E-15,7.64E-16,W.m-2.kg-1
519,4.86E-16,1.35E-15,4.92E-15,7.64E-16,W.m-2.kg-1
520,4.86E-16,1.34E-15,4.88E-15,7.63E-16,W.m-2.kg-1
521,4.85E-16,1.34E-15,4.84E-15,7.63E-16,W.m-2.kg-1
522,4.85E-16,1.34E-15,4.80E-15,7.62E-16,W.m-2.kg-1
523,4.85E-16,1.34E-15,4.76E-15,7.62E-16,W.m-2.kg-1
524,4.85E-16,1.34E-15,4.72E-15,7.62E-16,W.m-2.kg-1
525,4.84E-16,1.34E-15,4.68E-15,7.61E-16,W.m-2.kg-1
526,4.84E-16,1.34E-15,4.64E-15,7.61E-16,W.m-2.kg-1
527,4.84E-16,1.34E-15,4.60E-15,7.60E-16,W.m-2.kg-1
528,4.84E-16,1.34E-15,4.56E-15,7.60E-16,W.m-2.kg-1
529,4.83E-16,1.34E-15,4.53E-15,7.60E-16,W.m-2.kg-1
530,4.83E-16,1.34E-15,4.49E-15,7.59E-16,W.m-2.kg-1
531,4.83E-16,1.34E-15,4.45E-15,7.59E-16,W.m-2.kg-1
532,4.83E-16,1.34E-15,4.41E-15,7.58E-16,W.m-2.kg-1
533,4.82E-16,1.34E-15,4.38E-15,7.58E-16,W.m-2.kg-1
534,4.82E-16,1.33E-15,4.34E-15,7.58E-16,W.m-2.kg-1
535,4.82E-16,1.33E-15,4.31E-15,7.57E-16,W.m-2.kg-1
536,4.82E-16,1.33E-15,4.27E-15,7.57E-16,W.m-2.kg-1
537,4.81E-16,1.33E-15,4.24E-15,7.56E-16,W.m-2.kg-1
538,4.81E-16,1.33E-15,4.20E-15,7.56E-16,W.m-2.kg-1
539,4.81E-16,1.33E-15,4.17E-15,7.56E-16,W.m-2.kg-1
540,4.81E-16,1.33E-15,4.13E-15,7.55E-16,W.m-2.kg-1
541,4.80E-16,1.33E-15,4.10E-15,7.55E-16,W.m-2.kg-1
542,4.80E-16,1.33E-15,4.06E-15,7.54E-16,W.m-2.kg-1
543,4.80E-16,1.33E-15,4.03E-15,7.54E-16,W.m-2.kg-1
544,4.80E-16,1.33E-15,4.00E-15,7.54E-16,W.m-2.kg-1
545,4.79E-16,1.33E-15,3.97E-15,7.53E-16,W.m-2.kg-1
546,4.79E-16,1.33E-15,3.93E-15,7.53E-16,W.m-2.kg-1
547,4.79E-16,1.33E-15,3.90E-15,7.52E-16,W.m-2.kg-1
548,4.79E-16,1.32E-15,3.87E-15,7.52E-16,W.m-2.kg-1
549,4.78E-16,1.32E-15,3.84E-15,7.52E-16,W.m-2.kg-1
550,4.78E-16,1.32E-15,3.80E-15,7.51E-16,W.m-2.kg-1
551,4.78E-16,1.32E-15,3.77E-15,7.51E-16,W.m-2.kg-1
552,4.78E-16,1.32E-15,3.74E-15,7.50E-16,W.m-2.kg-1
553,4.77E-16,1.32E-15,3.71E-15,7.50E-16,W.m-2.kg-1
554,4.77E-16,1.32E-15,3.68E-15,7.50E-16,W.m-2.kg-1
555,4.77E-16,1.32E-15,3.65E-15,7.49E-16,W.m-2.kg-1
556,4.77E-16,1.32E-15,3.62E-15,7.49E-16,W.m-2.kg-1
557,4.76E-16,1.32E-15,3.59E-15,7.49E-16,W.m-2.kg-1
558,4.76E-16,1.32E-15,3.56E-15,7.48E-16,W.m-2.kg-1
559,4.76E-16,1.32E-15,3.53E-15,7.48E-16,W.m-2.kg-1
560,4.76E-16,1.32E-15,3.50E-15,7.47E-16,W.m-2.kg-1
561,4.75E-16,1.32E-15,3.47E-15,7.47E-16,W.m-2.kg-1
562,4.75E-16,1.31E-15,3.45E-15,7.47E-16,W.m-2.kg-1
563,4.75E-16,1.31E-15,3.42E-15,7.46E-16,W.m-2.kg-1
564,4.75E-16,1.31E-15,3.39E-15,7.46E-16,W.m-2.kg-1
565,4.74E-16,1.31E-15,3.36E-15,7.46E-16,W.m-2.kg-1
566,4.74E-16,1.31E-15,3.33E-15,7.45E-16,W.m-2.kg-1
567,4.74E-16,1.31E-15,3.31E-15,7.45E-16,W.m-2.kg-1
568,4.74E-16,1.31E-15,3.28E-15,7.44E-16,W.m-2.kg-1
569,4.73E-16,1.31E-15,3.25E-15,7.44E-16,W.m-2.kg-1
570,4.73E-16,1.31E-15,3.23E-15,7.44E-16,W.m-2.kg-1
571,4.73E-16,1.31E-15,3.20E-15,7.43E-16,W.m-2.kg-1
572,4.73E-16,1.31E-15,3.17E-15,7.43E-16,W.m-2.kg-1
573,4.73E-16,1.31E-15,3.15E-15,7.43E-16,W.m-2.kg-1
574,4.72E-16,1.31E-15,3.12E-15,7.42E-16,W.m-2.kg-1
575,4.72E-16,1.31E-15,3.09E-15,7.42E-16,W.m-2.kg-1
576,4.72E-16,1.31E-15,3.07E-15,7.41E-16,W.m-2.kg-1
577,4.72E-16,1.30E-15,3.04E-15,7.41E-16,W.m-2.kg-1
578,4.71E-16,1.30E-15,3.02E-15,7.41E-16,W.m-2.kg-1
579,4.71E-16,1.30E-15,2.99E-15,7.40E-16,W.m-2.kg-1
580,4.71E-16,1.30E-15,2.97E-15,7.40E-16,W.m-2.kg-1
581,4.71E-16,1.30E-15,2.94E-15,7.40E-16,W.m-2.kg-1
582,4.70E-16,1.30E-15,2.92E-15,7.39E-16,W.m-2.kg-1
583,4.70E-16,1.30E-15,2.90E-15,7.39E-16,W.m-2.kg-1
584,4.70E-16,1.30E-15,2.87E-15,7.39E-16,W.m-2.kg-1
585,4.70E-16,1.30E-15,2.85E-15,7.38E-16,W.m-2.kg-1
586,4.70E-16,1.30E-15,2.83E-15,7.38E-16,W.m-2.kg-1
587,4.69E-16,1.30E-15,2.80E-15,7.38E-16,W.m-2.kg-1
588,4.69E-16,1.30E-15,2.78E-15,7.37E-16,W.m-2.kg-1
589,4.69E-16,1.30E-15,2.76E-15,7.37E-16,W.m-2.kg-1
590,4.69E-16,1.30E-15,2.73E-15,7.36E-16,W.m-2.kg-1
591,4.68E-16,1.30E-15,2.71E-15,7.36E-16,W.m-2.kg-1
592,4.68E-16,1.30E-15,2.69E-15,7.36E-16,W.m-2.kg-1
593,4.68E-16,1.29E-15,2.67E-15,7.35E-16,W.m-2.kg-1
594,4.68E-16,1.29E-15,2.64E-15,7.35E-16,W.m-2.kg-1
595,4.68E-16,1.29E-15,2.62E-15,7.35E-16,W.m-2.kg-1
596,4.67E-16,1.29E-15,2.60E-15,7.34E-16,W.m-2.kg-1
597,4.67E-16,1.29E-15,2.58E-15,7.34E-16,W.m-2.kg-1
598,4.67E-16,1.29E-15,2.56E-15,7.34E-16,W.m-2.kg-1
599,4.67E-16,1.29E-15,2.54E-15,7.33E-16,W.m-2.kg-1
600,4.66E-16,1.29E-15,2.52E-15,7.33E-16,W.m-2.kg-1
601,4.66E-16,1.29E-15,2.50E-15,7.33E-16,W.m-2.kg-1
602,4.66E-16,1.29E-15,2.48E-15,7.32E-16,W.m-2.kg-1
603,4.66E-16,1.29E-15,2.46E-15,7.32E-16,W.m-2.kg-1
604,4.66E-16,1.29E-15,2.44E-15,7.32E-16,W.m-2.kg-1
605,4.65E-16,1.29E-15,2.42E-15,7.31E-16,W.m-2.kg-1
606,4.65E-16,1.29E-15,2.40E-15,7.31E-16,W.m-2.kg-1
607,4.65E-16,1.29E-15,2.38E-15,7.31E-16,W.m-2.kg-1
608,4.65E-16,1.29E-15,2.36E-15,7.30E-16,W.m-2.kg-1
609,4.65E-16,1.28E-15,2.34E-15,7.30E-16,W.m-2.kg-1
610,4.64E-16,1.28E-15,2.32E-15,7.30E-16,W.m-2.kg-1
611,4.64E-16,1.28E-15,2.30E-15,7.29E-16,W.m-2.kg-1
612,4.64E-16,1.28E-15,2.28E-15,7.29E-16,W.m-2.kg-1
613,4.64E-16,1.28E-15,2.26E-15,7.29E-16,W.m-2.kg-1
614,4.63E-16,1.28E-15,2.24E-15,7.28E-16,W.m-2.kg-1
615,4.63E-16,1.28E-15,2.22E-15,7.28E-16,W.m-2.kg-1
616,4.63E-16,1.28E-15,2.21E-15,7.28E-16,W.m-2.kg-1
617,4.63E-16,1.28E-15,2.19E-15,7.27E-16,W.m-2.kg-1
618,4.63E-16,1.28E-15,2.17E-15,7.27E-16,W.m-2.kg-1
619,4.62E-16,1.28E-15,2.15E-15,7.27E-16,W.m-2.kg-1
620,4.62E-16,1.28E-15,2.13E-15,7.26E-16,W.m-2.kg-1
621,4.62E-16,1.28E-15,2.12E-15,7.26E-16,W.m-2.kg-1
622,4.62E-16,1.28E-15,2.10E-15,7.26E-16,W.m-2.kg-1
623,4.62E-16,1.28E-15,2.08E-15,7.25E-16,W.m-2.kg-1
624,4.61E-16,1.28E-15,2.06E-15,7.25E-16,W.m-2.kg-1
625,4.61E-16,1.28E-15,2.05E-15,7.25E-16,W.m-2.kg-1
626,4.61E-16,1.27E-15,2.03E-15,7.24E-16,W.m-2.kg-1
627,4.61E-16,1.27E-15,2.01E-15,7.24E-16,W.m-2.kg-1
628,4.61E-16,1.27E-15,2.00E-15,7.24E-16,W.m-2.kg-1
629,4.60E-16,1.27E-15,1.98E-15,7.23E-16,W.m-2.kg-1
630,4.60E-16,1.27E-15,1.96E-15,7.23E-16,W.m-2.kg-1
631,4.60E-16,1.27E-15,1.95E-15,7.23E-16,W.m-2.kg-1
632,4.60E-16,1.27E-15,1.93E-15,7.23E-16,W.m-2.kg-1
633,4.60E-16,1.27E-15,1.92E-15,7.22E-16,W.m-2.kg-1
634,4.59E-16,1.27E-15,1.90E-15,7.22E-16,W.m-2.kg-1
635,4.59E-16,1.27E-15,1.88E-15,7.22E-16,W.m-2.kg-1
636,4.59E-16,1.27E-15,1.87E-15,7.21E-16,W.m-2.kg-1
637,4.59E-16,1.27E-15,1.85E-15,7.21E-16,W.m-2.kg-1
638,4.59E-16,1.27E-15,1.84E-15,7.21E-16,W.m-2.kg-1
639,4.58E-16,1.27E-15,1.82E-15,7.20E-16,W.m-2.kg-1
640,4.58E-16,1.27E-15,1.81E-15,7.20E-16,W.m-2.kg-1
641,4.58E-16,1.27E-15,1.79E-15,7.20E-16,W.m-2.kg-1
642,4.58E-16,1.27E-15,1.78E-15,7.19E-16,W.m-2.kg-1
643,4.58E-16,1.26E-15,1.76E-15,7.19E-16,W.m-2.kg-1
644,4.57E-16,1.26E-15,1.75E-15,7.19E-16,W.m-2.kg-1
645,4.57E-16,1.26E-15,1.74E-15,7.18E-16,W.m-2.kg-1
646,4.57E-16,1.26E-15,1.72E-15,7.18E-16,W.m-2.kg-1
647,4.57E-16,1.26E-15,1.71E-15,7.18E-16,W.m-2.kg-1
648,4.57E-16,1.26E-15,1.69E-15,7.18E-16,W.m-2.kg-1
649,4.56E-16,1.26E-15,1.68E-15,7.17E-16,W.m-2.kg-1
650,4.56E-16,1.26E-15,1.66E-15,7.17E-16,W.m-2.kg-1
651,4.56E-16,1.26E-15,1.65E-15,7.17E-16,W.m-2.kg-1
652,4.56E-16,1.26E-15,1.64E-15,7.16E-16,W.m-2.kg-1
653,4.56E-16,1.26E-15,1.62E-15,7.16E-16,W.m-2.kg-1
654,4.55E-16,1.26E-15,1.61E-15,7.16E-16,W.m-2.kg-1
655,4.55E-16,1.26E-15,1.60E-15,7.15E-16,W.m-2.kg-1
656,4.55E-16,1.26E-15,1.58E-15,7.15E-16,W.m-2.kg-1
657,4.55E-16,1.26E-15,1.57E-15,7.15E-16,W.m-2.kg-1
658,4.55E-16,1.26E-15,1.56E-15,7.15E-16,W.m-2.kg-1
659,4.55E-16,1.26E-15,1.55E-15,7.14E-16,W.m-2.kg-1
660,4.54E-16,1.26E-15,1.53E-15,7.14E-16,W.m-2.kg-1
661,4.54E-16,1.26E-15,1.52E-15,7.14E-16,W.m-2.kg-1
662,4.54E-16,1.25E-15,1.51E-15,7.13E-16,W.m-2.kg-1
663,4.54E-16,1.25E-15,1.50E-15,7.13E-16,W.m-2.kg-1
664,4.54E-16,1.25E-15,1.48E-15,7.13E-16,W.m-2.kg-1
665,4.53E-16,1.25E-15,1.47E-15,7.13E-16,W.m-2.kg-1
666,4.53E-16,1.25E-15,1.46E-15,7.12E-16,W.m-2.kg-1
667,4.53E-16,1.25E-15,1.45E-15,7.12E-16,W.m-2.kg-1
668,4.53E-16,1.25E-15,1.43E-15,7.12E-16,W.m-2.kg-1
669,4.53E-16,1.25E-15,1.42E-15,7.11E-16,W.m-2.kg-1
670,4.53E-16,1.25E-15,1.41E-15,7.11E-16,W.m-2.kg-1
671,4.52E-16,1.25E-15,1.40E-15,7.11E-16,W.m-2.kg-1
672,4.52E-16,1.25E-15,1.39E-15,7.11E-16,W.m-2.kg-1
673,4.52E-16,1.25E-15,1.38E-15,7.10E-16,W.m-2.kg-1
674,4.52E-16,1.25E-15,1.37E-15,7.10E-16,W.m-2.kg-1
675,4.52E-16,1.25E-15,1.35E-15,7.10E-16,W.m-2.kg-1
676,4.51E-16,1.25E-15,1.34E-15,7.09E-16,W.m-2.kg-1
677,4.51E-16,1.25E-15,1.33E-15,7.09E-16,W.m-2.kg-1
678,4.51E-16,1.25E-15,1.32E-15,7.09E-16,W.m-2.kg-1
